Country,Year,Population,Income,Energy
Brunei,1996,312000,69900,7490
Brunei,1997,319000,68000,7290
Brunei,1998,326000,68500,7270
Brunei,1999,333000,69000,7160
Brunei,2000,340000,69500,6490
Brunei,2001,347000,70800,6220
Brunei,2002,353000,71500,7090
Brunei,2003,359000,70600,6390
Brunei,2004,365000,69800,6070
Brunei,2005,370000,71800,8510
Brunei,2006,375000,71100,8610
Brunei,2007,379000,68900,9340
Brunei,2008,384000,66800,7930
Brunei,2009,389000,67800,8340
Brunei,2010,394000,69400,9840
Canada,1970,21700000,23000,6440
Canada,1971,22100000,24000,6860
Canada,1972,22400000,25400,7080
Canada,1973,22700000,26100,7090
Canada,1974,23100000,26300,7170
Canada,1975,23400000,27300,7290
Canada,1976,23600000,27900,7430
Canada,1977,23900000,28800,7560
Canada,1978,24200000,29700,7860
Canada,1979,24400000,29700,7830
Canada,1980,24700000,30200,7560
Canada,1981,24900000,29000,7170
Canada,1982,25200000,29500,7080
Canada,1983,25400000,30900,7370
Canada,1984,25700000,32300,7470
Canada,1985,26100000,32800,7520
Canada,1986,26400000,33700,7670
Canada,1987,26800000,34900,7890
Canada,1988,27200000,35100,7960
Canada,1989,27500000,34600,7630
Canada,1990,27900000,33500,7520
Canada,1991,28200000,33400,7600
Canada,1992,28500000,33900,7770
Canada,1993,28900000,35100,7960
Canada,1994,29200000,35600,7980
Canada,1995,29500000,35800,8050
Canada,1996,29700000,34100,8060
Canada,1997,30000000,34800,7950
Canada,1998,30300000,35900,8110
Canada,1999,30600000,37300,8270
Canada,2000,30900000,37400,8060
Canada,2001,31200000,38300,7990
Canada,2002,31500000,39400,8340
Canada,2003,31800000,40500,8460
Canada,2004,32200000,42100,8420
Canada,2005,32500000,43500,8240
Canada,2006,32900000,46000,8210
Canada,2007,33300000,46000,8190
Canada,2008,33700000,44100,7800
Canada,2009,34100000,45000,7790
Canada,2010,34500000,45900,7910
Switzerland,1970,6200000,46500,2640
Switzerland,1971,6250000,47500,2730
Switzerland,1972,6290000,48400,3000
Switzerland,1973,6320000,48800,2780
Switzerland,1974,6340000,45000,2710
Switzerland,1975,6340000,44200,2820
Switzerland,1976,6320000,45300,2880
Switzerland,1977,6300000,45500,3000
Switzerland,1978,6290000,46600,3040
Switzerland,1979,6280000,48600,3170
Switzerland,1980,6300000,49100,3090
Switzerland,1981,6320000,48100,2980
Switzerland,1982,6360000,48000,3170
Switzerland,1983,6400000,49000,3240
Switzerland,1984,6440000,50300,3410
Switzerland,1985,6470000,50800,3540
Switzerland,1986,6510000,51200,3430
Switzerland,1987,6550000,52400,3440
Switzerland,1988,6600000,54100,3340
Switzerland,1989,6650000,55400,3630
Switzerland,1990,6720000,54200,3640
Switzerland,1991,6790000,53600,3610
Switzerland,1992,6870000,53100,3490
Switzerland,1993,6940000,53300,3490
Switzerland,1994,7000000,53200,3420
Switzerland,1995,7040000,53300,3470
Switzerland,1996,7070000,54400,3530
Switzerland,1997,7090000,55800,3560
Switzerland,1998,7120000,56500,3550
Switzerland,1999,7140000,58400,3480
Switzerland,2000,7180000,58800,3670
Switzerland,2001,7220000,58400,3550
Switzerland,2002,7270000,58000,3540
Switzerland,2003,7320000,59200,3530
Switzerland,2004,7390000,60700,3490
Switzerland,2005,7460000,62700,3620
Switzerland,2006,7540000,64700,3410
Switzerland,2007,7620000,65300,3500
Switzerland,2008,7710000,63000,3480
Switzerland,2009,7810000,64300,3350
Switzerland,2010,7910000,64600,3210
Chile,1970,9940000,9510,875
Chile,1971,10100000,9180,875
Chile,1972,10300000,8480,828
Chile,1973,10400000,8370,809
